;id;X_age;X_bonus_malus_rating;X_distr_channel;X_vehicle_type;X_ttm_claims;X_policy_count;X_risk_code;X_vehicle_age;X_policy_tenure;X_policy_premium;U;prob_acceptance;Z
2029;7802;53.0;45.0;2;5;0;3;0;15.0;23.0;168.9622;1.074559871971364;0.9438009113073349;1
2089;7985;82.0;45.0;2;0;0;3;0;26.0;23.0;136.63;1.0939764327014565;0.9240762963891029;1
2095;8011;48.0;45.0;5;1;0;1;0;23.0;23.0;178.6;1.0940649496080628;0.9038128778338432;1
2114;8093;70.0;45.0;3;1;0;1;0;20.0;23.0;150.35;1.0399068839374792;0.9763815142214298;1
2162;8265;49.0;45.0;5;3;0;1;0;28.0;23.0;181.0723;1.0955844709544198;0.8550360798835754;1
2164;8276;72.0;45.125;2;7;0;4;0;23.0;23.0;211.86;1.039932030586236;0.9641809053719044;1
2193;8335;88.0;45.0;2;2;0;1;0;27.0;23.0;186.24;1.1092139175257731;0.807031512260437;1
2241;8590;51.0;45.0;5;1;0;1;0;26.0;23.0;214.69;1.054450603195305;0.9381257556378841;0
2248;8637;58.0;45.0;7;2;0;2;0;11.0;23.0;193.8;1.0842621259029928;0.9092884063720703;1
2276;8777;85.0;45.0;5;1;0;1;0;25.0;23.0;162.73;1.0937135131813434;0.9065767005085945;1
2337;8955;90.0;47.5;8;0;0;1;0;30.0;23.0;197.74;1.0545160311520179;0.7984767258167267;1
2344;8962;94.0;45.0;8;1;0;3;4;17.0;23.0;248.18;1.0400918688048997;0.9391171410679817;1
2358;9023;77.0;45.0;2;2;0;2;3;11.0;23.0;239.75;1.094473409801877;0.9330727383494377;1
2366;9105;75.0;45.0;5;3;0;9;0;26.0;23.0;194.1;1.0940752189592995;0.9450665079057217;1
2424;9356;84.0;45.0;2;1;0;3;0;30.0;23.0;168.23;1.0841110384592523;0.8905049115419388;1
2465;9568;68.0;45.0;8;7;0;2;0;22.0;23.0;212.07;1.1091149148865942;0.8471365869045258;1
2482;9649;68.0;45.0;5;1;0;3;0;12.0;23.0;162.95;1.049217551396134;0.9816959351301193;0
2483;9662;63.0;50.0;5;2;0;3;4;23.0;23.0;240.6947;1.1071702035815496;0.9301010593771935;1
2492;9795;65.0;45.0;8;1;0;3;0;20.0;23.0;188.1985;1.0971394564781334;0.897088535130024;1
2549;10017;68.0;45.0;5;6;0;5;0;19.0;23.0;189.9337;1.127024851303376;0.9325113967061043;1
2555;10039;52.0;45.0;2;0;0;1;0;26.0;23.0;154.0919;1.0969427984209423;0.8716042041778564;1
2569;10108;71.0;45.0;5;6;0;2;0;23.0;23.0;164.07;1.1087950265130737;0.9182657152414322;1
2608;10222;73.0;45.0;5;1;1;1;0;24.0;23.0;191.3698;1.0522558940856916;0.9481794908642769;1
2628;10273;69.0;51.4425;4;1;0;3;0;19.0;23.0;226.5335;1.0773682479633255;0.9268923476338387;1
2635;10281;57.0;45.0;8;1;0;1;0;6.0;23.0;262.99;1.0696604433628654;0.9120828732848167;1
2661;10328;81.0;45.0;5;0;0;2;0;25.0;23.0;154.3612;1.1067548062596042;0.9425286762416363;1
2696;10519;70.0;45.0;4;1;0;2;0;24.0;23.0;187.0217;1.0871465717614586;0.925498940050602;1
2704;10535;62.0;45.0;4;2;0;5;0;30.0;23.0;156.0765;1.0872873238443967;0.9181353375315666;0
2744;10762;73.0;45.0;5;1;0;2;0;16.0;23.0;155.42;1.0941963711234077;0.9354199171066284;1
2780;10906;69.0;45.0;5;1;0;1;0;26.0;23.0;132.3216;1.0964952056202466;0.9082092568278313;1
2796;10992;87.0;45.0;5;5;0;2;0;15.0;23.0;237.9622;1.0376017703652092;0.9546593725681305;1
2812;11027;52.0;45.0;4;1;0;1;0;22.0;23.0;210.5872;1.1123658038095383;0.8708106577396393;1
2823;11061;68.0;45.0;5;2;0;1;3;15.0;23.0;243.477;1.0427268284067899;0.9750412255525589;1
2826;11077;62.0;45.0;4;1;0;3;0;19.0;23.0;199.0488;1.1072159189103374;0.9245669022202492;1
2846;11164;84.0;45.0;5;7;0;4;0;31.0;23.0;162.3094;1.106959917293761;0.9532306864857674;1
2860;11178;43.0;45.0;1;1;0;1;0;21.0;23.0;216.7004;1.0774322520862905;0.8495116829872131;1
2900;11321;67.0;45.0;7;1;0;3;0;13.0;23.0;253.1904;1.0772130380930713;0.930668830871582;1
2915;11396;55.0;45.0;5;2;0;2;0;13.0;23.0;179.0735;1.1142352162659468;0.9241474196314812;1
2923;11404;78.0;45.0;5;1;0;2;0;30.0;23.0;235.9776;1.047599433166538;0.9639291502535343;1
2931;11435;56.0;45.0;4;3;0;4;1;22.0;23.0;225.5661;1.097328011611674;0.9306522011756897;1
2968;11633;77.0;45.0;5;1;0;2;0;4.0;23.0;139.3822;1.1019341063636532;0.9746021050959826;1
2976;11680;58.0;45.0;7;2;0;3;0;31.0;23.0;192.8059;1.0266802001391035;0.9418844096362591;1
2991;11712;53.0;45.0;5;1;0;1;0;21.0;23.0;175.224;1.006311920741451;0.9659473039209843;1
2995;11769;54.0;45.0;4;3;0;3;0;26.0;23.0;182.3246;1.0570707408654674;0.9558670036494732;1
2998;11823;67.0;45.125;5;5;0;4;0;20.0;23.0;203.706;1.1071838826544138;0.927259735763073;1
3052;11985;71.0;45.0;8;1;0;5;0;24.0;23.0;200.1757;1.033542033323725;0.9558761082589626;1
3066;12007;74.0;45.0;8;0;0;1;0;8.0;23.0;153.0548;1.0970580471831004;0.9290415346622467;1
3088;12123;65.0;45.0;8;2;0;2;0;25.0;23.0;219.0041;1.097194070795935;0.8619561046361923;1
3096;12131;44.0;45.0;5;2;1;2;0;20.0;23.0;200.4848;1.111954621996281;0.913739874958992;0
3173;12507;65.0;45.0;5;7;0;2;0;22.0;23.0;190.9011;1.0410626235260036;0.9794856104999781;1
3200;12662;60.0;45.0;2;1;0;4;0;31.0;23.0;177.8967;1.0154769593814836;0.963659480214119;1
3219;12736;53.0;45.0;5;7;0;3;0;23.0;23.0;171.9829;1.1219720100079718;0.9417174831032753;1
3227;12744;66.0;45.0;7;7;0;11;0;24.0;23.0;195.7279;1.1121051214466613;0.9019502550363541;1
