;id;X_age;X_bonus_malus_rating;X_distr_channel;X_vehicle_type;X_ttm_claims;X_policy_count;X_risk_code;X_vehicle_age;X_policy_tenure;Y;U;Y_hat
461;1956;71.0;45.0;4;1;0;5;0;24.0;23.0;209.54;1.0872864369571442;174.7596893310547
475;2011;48.0;45.0;5;1;0;3;0;19.0;24.0;205.7604;1.0428148467829572;173.70547485351562
511;2212;58.0;45.0;8;1;0;2;0;23.0;24.0;167.3257;1.1019825406378099;183.33389282226562
519;2220;85.0;45.0;10;2;0;1;4;24.0;24.0;276.6462;1.0773688559611518;254.3213653564453
608;2566;50.0;45.0;5;2;0;2;0;14.0;24.0;211.6642;1.0871465273768546;210.05526733398438
641;2716;55.0;45.0;0;6;0;3;0;24.0;24.0;172.4117;1.1070014389974696;196.03890991210938
719;2948;77.0;45.0;8;1;0;1;0;19.0;24.0;188.7869;1.042763030697575;196.54208374023438
757;3031;84.0;45.0;7;7;0;3;0;24.0;24.0;193.7034;1.1021489555681523;209.6604461669922
765;3061;70.0;45.0;7;1;0;2;0;10.0;24.0;377.819;1.1274710906545198;192.54664611816406
781;3132;64.0;45.0;4;1;0;1;0;24.0;24.0;207.9544;1.1021647053392474;168.58201599121094
830;3258;82.0;45.0;5;1;0;3;0;30.0;24.0;208.6026;1.084022922053704;159.5791015625
886;3512;52.0;45.0;5;2;0;4;0;24.0;24.0;189.6146;1.0429576625428632;183.62533569335938
899;3558;75.0;45.0;2;1;0;3;0;22.0;24.0;186.5031;1.0969790850661465;172.03602600097656
938;3762;50.0;45.0;5;2;0;3;0;25.0;24.0;205.3216;1.1121090036313763;189.70736694335938
